study_hours,attendance_rate,previous_grade,final_grade,pass_fail_label
4.59,80.79,78.12,78.95,Pass
3.1,80.81,81.44,76.13,Pass
4.32,81.24,76.72,80.35,Pass
6.68,67.64,44.72,58.44,Pass
1.55,76.23,78.07,69.35,Pass
5.87,76.17,54.49,67.7,Pass
5.48,82.6,73.53,71.42,Pass
3.81,90.0,48.64,67.63,Pass
2.11,65.3,76.69,63.87,Pass
5.14,76.5,57.9,67.97,Pass
3.94,95.78,50.76,76.87,Pass
5.47,69.08,80.71,70.53,Pass
5.04,68.13,73.62,72.54,Pass
8.2,80.43,60.79,83.77,Pass
4.52,88.13,91.77,85.22,Pass
2.95,78.14,63.39,67.98,Pass
5.36,93.95,70.48,76.3,Pass
5.44,88.28,74.03,88.31,Pass
7.72,88.1,60.71,88.54,Pass
6.67,84.65,77.07,75.14,Pass
5.71,100.0,62.0,69.99,Pass
7.93,75.54,63.83,86.21,Pass
2.62,53.96,90.44,65.31,Pass
3.72,97.25,54.39,71.11,Pass
3.15,72.51,33.81,54.61,Pass
4.22,79.29,94.16,84.05,Pass
2.25,93.71,100.0,87.18,Pass
6.27,58.77,63.92,66.56,Pass
4.56,62.98,40.95,52.16,Pass
2.06,58.78,65.34,49.5,Fail
2.97,68.47,65.71,66.03,Pass
5.63,83.28,67.15,88.83,Pass
6.68,84.29,53.3,76.96,Pass
8.99,81.32,78.69,80.2,Pass
10.83,61.05,77.87,87.12,Pass
5.83,50.28,47.58,58.39,Pass
3.02,78.65,80.49,68.55,Pass
0.74,72.34,100.0,64.93,Pass
5.54,83.51,72.58,81.98,Pass
3.37,86.42,64.94,68.65,Pass
4.17,79.66,67.87,80.51,Pass
3.78,87.12,79.23,72.99,Pass
4.72,80.75,44.04,61.42,Pass
7.13,84.36,72.47,91.98,Pass
5.31,69.54,64.14,62.88,Pass
4.68,75.84,97.72,87.35,Pass
2.93,80.36,67.39,68.71,Pass
1.65,87.85,95.02,73.51,Pass
4.03,73.28,53.44,76.72,Pass
4.89,84.25,78.81,77.05,Pass
8.54,74.81,74.79,100.0,Pass
5.26,76.59,56.96,71.43,Pass
6.97,87.95,72.66,80.13,Pass
4.0,54.08,88.19,72.39,Pass
2.63,62.44,65.14,53.05,Pass
3.07,60.21,44.62,49.31,Fail
3.55,50.0,69.74,65.09,Pass
9.26,69.86,56.46,91.49,Pass
3.36,86.99,64.86,66.55,Pass
6.68,74.58,68.78,89.4,Pass
3.19,80.37,44.42,69.18,Pass
6.86,91.07,45.77,90.22,Pass
5.77,93.93,77.23,91.15,Pass
4.69,77.17,62.16,82.14,Pass
4.92,94.24,31.53,54.8,Pass
3.69,79.11,81.77,73.63,Pass
5.89,67.95,74.09,72.99,Pass
4.09,70.87,59.29,68.03,Pass
2.55,60.23,50.25,50.36,Pass
2.44,67.34,82.54,66.19,Pass
5.35,73.7,75.24,92.07,Pass
8.16,87.64,100.0,100.0,Pass
5.32,98.65,76.3,89.54,Pass
4.76,61.41,75.82,71.34,Pass
5.57,82.71,67.5,80.37,Pass
7.61,65.51,82.25,88.45,Pass
5.44,83.7,79.38,86.87,Pass
4.18,76.43,88.78,87.71,Pass
7.21,56.03,62.18,88.4,Pass
5.86,89.14,63.47,83.72,Pass
8.07,70.74,62.81,89.23,Pass
5.37,71.59,81.86,72.61,Pass
2.55,65.16,92.48,70.01,Pass
2.26,70.15,63.12,67.23,Pass
8.3,83.13,63.63,96.14,Pass
8.45,75.73,74.71,93.83,Pass
4.64,81.94,66.31,81.49,Pass
4.23,82.34,84.28,83.42,Pass
7.92,93.85,36.22,90.51,Pass
2.79,73.89,57.6,64.05,Pass
3.21,60.28,58.26,57.47,Pass
6.29,90.81,35.19,76.31,Pass
4.21,74.02,55.55,46.82,Fail
4.99,91.38,56.27,78.75,Pass
4.67,82.6,66.98,50.31,Pass
5.68,76.43,86.69,73.04,Pass
7.81,82.19,66.32,91.85,Pass
5.18,100.0,54.54,82.19,Pass
6.29,100.0,69.15,80.47,Pass
0.9,78.83,85.74,60.45,Pass
4.9,79.92,55.36,81.54,Pass
3.31,90.91,56.34,65.52,Pass
2.56,67.85,78.38,82.25,Pass
3.24,82.0,66.68,69.55,Pass
4.33,77.69,79.71,80.26,Pass
6.83,81.77,69.8,96.97,Pass
2.35,68.0,80.52,67.36,Pass
5.06,58.93,54.47,58.98,Pass
4.03,53.12,69.82,64.54,Pass
4.34,64.59,66.84,68.77,Pass
7.01,72.5,51.76,67.74,Pass
6.08,74.48,46.55,70.37,Pass
7.67,100.0,80.29,93.14,Pass
4.69,91.27,64.74,84.21,Pass
3.61,66.45,54.67,62.47,Pass
4.55,82.17,68.56,73.79,Pass
5.48,73.12,86.92,82.65,Pass
5.35,74.59,35.79,66.95,Pass
2.83,80.22,47.55,64.92,Pass
5.18,85.43,56.16,68.05,Pass
5.46,73.93,91.92,77.98,Pass
10.03,90.77,74.24,100.0,Pass
8.75,64.3,81.51,89.7,Pass
3.29,78.08,52.9,53.85,Pass
4.43,100.0,53.21,78.32,Pass
2.07,80.68,76.72,71.0,Pass
3.82,95.2,70.87,66.69,Pass
5.63,79.1,78.23,84.37,Pass
7.41,84.97,67.18,93.28,Pass
3.54,77.32,74.17,74.65,Pass
3.69,75.96,72.37,76.05,Pass
0.71,68.65,81.67,50.31,Pass
4.67,83.16,82.11,83.64,Pass
2.88,67.78,45.7,54.29,Pass
3.94,85.99,36.29,59.67,Pass
3.25,91.02,85.03,84.79,Pass
4.81,82.4,87.82,94.02,Pass
1.48,74.57,54.69,68.31,Pass
2.07,83.45,42.1,65.65,Pass
9.26,74.3,71.49,93.43,Pass
2.43,89.23,83.96,76.81,Pass
2.81,56.02,96.96,75.9,Pass
8.67,73.97,77.74,94.68,Pass
10.81,54.11,64.42,93.1,Pass
2.66,60.06,56.6,62.75,Pass
